tract,state_abbr,year,hpi
1097006804,AL,2000,126.96
1097006902,AL,2000,118.69
1097006904,AL,2000,138.97
1097007000,AL,2000,145.25
1097007101,AL,2000,106.31
1097007103,AL,2000,106.21
1097007203,AL,2000,194.08
1097007204,AL,2000,103.95
1101001300,AL,2000,134.70
1101001400,AL,2000,170.00
1101001700,AL,2000,113.86
1101001800,AL,2000,118.66
1101001900,AL,2000,122.37
1101002000,AL,2000,138.32
1101002100,AL,2000,118.39
1101002600,AL,2000,135.13
1101002700,AL,2000,129.83
1101002800,AL,2000,117.63
1101003301,AL,2000,121.02
1101003303,AL,2000,117.59
1101003304,AL,2000,115.69
1101005101,AL,2000,102.94
1101005403,AL,2000,115.50
1101005407,AL,2000,119.12
1101005409,AL,2000,121.27
1101005410,AL,2000,125.33
1101005411,AL,2000,129.97
1101005412,AL,2000,122.76
1101005413,AL,2000,127.24
1101005414,AL,2000,118.79
1101005503,AL,2000,127.08
1101005604,AL,2000,127.75
1101005605,AL,2000,100.51
1101005606,AL,2000,108.97
1101005607,AL,2000,100.07
1101005608,AL,2000,115.61
1101005609,AL,2000,110.68
1101005611,AL,2000,128.67
1103000100,AL,2000,120.54
1103000200,AL,2000,167.34
1103000300,AL,2000,139.02
1103000400,AL,2000,160.47
1103000900,AL,2000,113.68
1103001000,AL,2000,153.83
1103005101,AL,2000,120.15
1103005105,AL,2000,131.18
1103005106,AL,2000,140.01
1103005107,AL,2000,149.20
1103005108,AL,2000,142.69
1103005109,AL,2000,108.36
1103005202,AL,2000,107.03
1103005302,AL,2000,108.73
1103005303,AL,2000,110.54
1103005304,AL,2000,113.32
1103005305,AL,2000,105.46
1103005306,AL,2000,149.84
1103005404,AL,2000,125.62
1103005405,AL,2000,114.33
1103005500,AL,2000,108.35
1103005601,AL,2000,103.02
1103005701,AL,2000,103.86
1103005703,AL,2000,102.60
1103005704,AL,2000,103.21
1109189001,AL,2000,140.94
1109189003,AL,2000,128.70
1109189102,AL,2000,111.23
1111000300,AL,2000,110.79
1113030402,AL,2000,129.84
1113030403,AL,2000,144.18
1113030404,AL,2000,135.68
1113030500,AL,2000,130.24
1113030907,AL,2000,107.58
1113031000,AL,2000,114.60
1115040104,AL,2000,143.00
1115040105,AL,2000,97.11
1115040107,AL,2000,137.44
1115040108,AL,2000,117.64
1115040110,AL,2000,114.91
1115040206,AL,2000,111.15
1115040209,AL,2000,111.01
1115040210,AL,2000,120.76
1115040211,AL,2000,107.83
1115040212,AL,2000,145.53
1115040213,AL,2000,121.97
1115040301,AL,2000,103.78
1115040401,AL,2000,116.94
1115040503,AL,2000,115.01
1115040504,AL,2000,105.12
1115040505,AL,2000,104.69
1115040506,AL,2000,105.50
1117030102,AL,2000,109.77
1117030211,AL,2000,107.11
1117030216,AL,2000,107.69
1117030218,AL,2000,112.28
1117030219,AL,2000,141.96
1117030220,AL,2000,121.86
1117030221,AL,2000,139.24
1117030304,AL,2000,168.30
1117030305,AL,2000,159.95
1117030306,AL,2000,133.39
1117030314,AL,2000,148.89
1117030315,AL,2000,162.18
1117030316,AL,2000,182.25
1117030317,AL,2000,138.35
1117030319,AL,2000,115.18
1117030320,AL,2000,156.99
